method,space,clone,w2_raw_mean,w2_raw_std,w2_scaled_mean,n_runs,clone_size_src,clone_size_tgt,clone_size_d6,dominant_fate,multipotency,pseudotime_spread,clone_size_d4,initial_var_dm,initial_var_pc
DeepRUOT,dm10,Clone_398,0.011526027520017124,0.0003012177306683342,0.011526027520017124,4,2,25,25,Meg,2,0.15351807517177313,2,4.455718918993581,12.844691127701376
DeepRUOT,dm10,Clone_401,0.003210524672702075,0.0004998909883501785,0.003210524672702075,4,2,21,21,undiff,0,0.009449906913408267,2,0.2927615511143181,6.016866547846647
DeepRUOT,dm10,Clone_405,0.0033564522208637004,0.0005493566197909846,0.0033564522208637004,4,18,24,24,Monocyte,2,0.05375761713677556,18,4.660732777437484,15.991837219935185
DeepRUOT,dm10,Clone_4205,0.006129803147754725,0.0007396410520788122,0.006129803147754725,4,5,16,16,Baso,1,0.03581221833879433,5,5.6779224662861845,30.622954423981827
DeepRUOT,dm10,Clone_4226,0.0027677532839091748,0.0006322127963233811,0.0027677532839091748,4,11,42,42,Monocyte,1,0.012150251433044212,11,0.20838978733154445,6.251213172478858
DeepRUOT,dm10,Clone_4276,0.00681587831994035,0.0006437980956625542,0.00681587831994035,4,2,23,23,Baso,2,0.1934655599160797,2,0.012509268371559253,3.7765158688102494
DeepRUOT,dm10,Clone_4316,0.0126434013173732,0.00025529180925111034,0.0126434013173732,4,11,9,9,Monocyte,2,0.04837580077314802,11,29.02447788355479,22.038395207847277
DeepRUOT,dm10,Clone_4456,0.005145549821320049,0.0006761585070843513,0.005145549821320049,4,4,16,16,Monocyte,1,0.036943296178177924,4,0.13814141869561275,7.263852993390859
DeepRUOT,dm10,Clone_4483,0.0056372333416568506,0.00045894086774740927,0.0056372333416568506,4,4,20,20,Neutrophil,2,0.1602617435581773,4,0.03898512500450519,4.865352645256264
DeepRUOT,dm10,Clone_449,0.006002298463279225,0.0006890434238623903,0.006002298463279225,4,3,27,27,Monocyte,1,0.06868739538943391,3,0.27409014173352764,5.2429907844997965
DeepRUOT,dm10,Clone_4571,0.005841982791754025,0.0008022160336055048,0.005841982791754025,4,4,27,27,Baso,2,0.1357723332643678,4,0.25609418945890317,7.061109485182975
DeepRUOT,dm10,Clone_4604,0.00681273049292135,0.0006368176595727675,0.00681273049292135,4,4,25,25,Monocyte,2,0.05356076429417436,4,0.044939384982890546,3.0536306497695627
DeepRUOT,dm10,Clone_4665,0.006380712771405675,0.0005159781388309363,0.006380712771405675,4,3,19,19,Neutrophil,3,0.14966562616430215,3,0.17695997318332657,9.240128549697486
DeepRUOT,dm10,Clone_4683,0.0071301048499119,0.00034944183107186316,0.0071301048499119,4,1,36,36,Erythroid,3,0.08348765003611086,1,,
DeepRUOT,dm10,Clone_4774,0.008036281830316926,0.000330386183513926,0.008036281830316926,4,12,10,10,Neutrophil,2,0.05335751573019172,12,3.799525885687359,11.968227690319242
DeepRUOT,dm10,Clone_478,0.002960533284012975,0.0005268573229631502,0.002960533284012975,4,2,20,20,undiff,0,0.005217821387869499,2,0.030646718481618086,7.412988228499486
DeepRUOT,dm10,Clone_4948,0.00563510718562695,0.00031815105655731696,0.00563510718562695,4,27,17,17,Monocyte,2,0.14859350629385978,27,3.57026365785626,15.907369625636797
DeepRUOT,dm10,Clone_4968,0.007786367500696725,0.0005528538776210618,0.007786367500696725,4,8,30,30,Monocyte,2,0.10429341441030007,8,0.5435719615590234,4.13910423885042
DeepRUOT,dm10,Clone_4996,0.00730924419468945,0.0002047768112164989,0.00730924419468945,4,14,10,10,Neutrophil,1,0.07107146688614559,14,7.954690681829848,12.909653109980116
DeepRUOT,dm10,Clone_5034,0.006073440511635975,0.0008275876708496271,0.006073440511635975,4,4,21,21,Baso,1,0.159610443251006,4,0.12845476877794174,6.51458597028454
DeepRUOT,dm10,Clone_5046,0.004430857910450875,0.0005629430423456203,0.004430857910450875,4,2,25,25,Monocyte,2,0.036544332378646176,2,0.045417112350472855,3.935035469412358
DeepRUOT,dm10,Clone_5198,0.004860932853603925,0.000995859793856845,0.004860932853603925,4,5,15,15,Baso,2,0.07567549446073076,5,0.8724133041043036,8.464522614417485
DeepRUOT,dm10,Clone_5252,0.00280574818903215,0.0006858983286748793,0.00280574818903215,4,9,21,21,undiff,0,0.014748342389116705,9,0.31226500236551347,7.85288886189962
DeepRUOT,dm10,Clone_5287,0.007423007660302626,0.0006837404554306143,0.007423007660302626,4,3,19,19,Monocyte,1,0.04374899620840231,3,0.0590240697163808,2.86214589353189
DeepRUOT,dm10,Clone_5404,0.002856501869718225,0.00048488763279260313,0.002856501869718225,4,23,33,33,Monocyte,2,0.05720455621213418,23,3.2381705817300763,14.366611171892627
DeepRUOT,dm10,Clone_5480,0.0150259015725272,7.688541510442174e-05,0.0150259015725272,4,10,16,16,Monocyte,3,0.12649564163123084,10,7.337588514932368,18.383384883823638
DeepRUOT,dm10,Clone_5483,0.003950905883937075,0.0007786798200231437,0.003950905883937075,4,7,31,31,Baso,2,0.09449253928666737,7,0.04005269263211243,3.614142967506261
DeepRUOT,dm10,Clone_5487,0.00330865079541495,0.0002502497620797264,0.00330865079541495,4,11,10,10,Mast,1,0.04127145001699628,11,0.7283743790979443,9.897448906559015
DeepRUOT,dm10,Clone_5518,0.0037558926738047753,0.0004499935921510666,0.0037558926738047753,4,4,17,17,undiff,0,0.014316176176095553,4,0.011291597163589453,2.3765065038163797
DeepRUOT,dm10,Clone_5523,0.00324792198254815,0.0004947223050721861,0.00324792198254815,4,2,19,19,undiff,0,0.0050717912745230735,2,0.0014205264430334596,9.100217444356625
DeepRUOT,dm10,Clone_5526,0.0063423621307467995,0.0006957920785107148,0.0063423621307467995,4,3,17,17,Monocyte,1,0.031230358387934264,3,0.03602799911927636,5.257854544433243
DeepRUOT,dm10,Clone_569,0.006476489413330225,0.0007130042641485321,0.006476489413330225,4,3,19,19,Monocyte,1,0.05450518504582877,3,0.07908025592995396,5.453396173682699
DeepRUOT,dm10,Clone_5717,0.0096251009409648,0.00040548621758844703,0.0096251009409648,4,3,37,37,Mast,2,0.11087369308289872,3,0.8247957661025747,5.866889794030414
DeepRUOT,dm10,Clone_5748,0.003528919615371425,0.0004200258303715003,0.003528919615371425,4,5,26,26,undiff,0,0.032069898139824284,5,0.034482824066289844,7.943323453209238
DeepRUOT,dm10,Clone_5791,0.0051907804459686,0.0005224538308259609,0.0051907804459686,4,21,21,21,Baso,3,0.1665301798686713,21,4.142258093309941,17.87387451481119
DeepRUOT,dm10,Clone_5793,0.00470384300316645,0.00012673590380981898,0.00470384300316645,4,8,12,12,Meg,1,0.05049900483188226,8,1.3444364651155936,5.807091296949124
DeepRUOT,dm10,Clone_5842,0.01881539265839035,0.00021156917225183171,0.01881539265839035,4,11,31,31,Meg,1,0.21745360025943325,11,0.8956015221870341,8.828171208356217
DeepRUOT,dm10,Clone_685,0.0043372639033900495,0.0006136513323921441,0.0043372639033900495,4,21,18,18,Monocyte,2,0.0948658829099985,21,2.2438547105633093,9.754974854131712
DeepRUOT,dm10,Clone_722,0.0036692021489341,0.00039507401039249896,0.0036692021489341,4,2,18,18,undiff,0,0.03728958569635448,2,0.014897505819378041,5.770397204110029
DeepRUOT,dm10,Clone_766,0.009369374744073549,0.0004680644755614781,0.009369374744073549,4,38,37,37,Neutrophil,2,0.1210815502835224,38,3.508582348949434,9.398724839588569
DeepRUOT,dm10,Clone_777,0.01087021205967525,0.0003413942668107018,0.01087021205967525,4,1,22,22,Erythroid,2,0.17489720952718177,1,,
DeepRUOT,dm10,Clone_862,0.003472610569294,0.0004249565356615543,0.003472610569294,4,3,21,21,undiff,0,0.030167572564979702,3,0.026815525245022287,6.807423705182
DeepRUOT,dm10,Clone_961,0.0059421303713478,0.0006779415600847082,0.0059421303713478,4,1,23,23,Monocyte,1,0.052456917900614165,1,,
DeepRUOT,dm10,Clone_965,0.01189560581340465,0.00016578698361787746,0.01189560581340465,4,9,11,11,Neutrophil,1,0.04335901937142737,9,0.32812961290615106,4.715085674223594
DeepRUOT,dm10,Clone_971,0.012739771019412675,0.00023396462752833504,0.012739771019412675,4,3,29,29,Monocyte,2,0.06889340954070368,3,0.15478277288639583,18.18883813482805
DeepRUOT,pc30,Clone_1099,13.098549841533275,0.9564974738214729,13.098549841533275,4,9,47,47,Neutrophil,1,0.053959359129898465,9,0.29777317698898875,3.337828069267898
DeepRUOT,pc30,Clone_123,15.468327237749724,0.4298455782744959,15.468327237749724,4,5,20,20,Monocyte,2,0.15722704683732244,5,0.037467114762215085,6.415137112580283
DeepRUOT,pc30,Clone_1258,12.089885191084786,0.732466028831595,12.089885191084786,4,3,22,22,Mast,2,0.09900429193938569,3,20.624729215903553,26.133309849855884
DeepRUOT,pc30,Clone_1301,9.697150380653012,0.8838083553303284,9.697150380653012,4,4,30,30,Monocyte,1,0.03793767532434031,4,0.06186000294475383,6.19803119852318
DeepRUOT,pc30,Clone_1305,9.622185365041009,0.7485533530243936,9.622185365041009,4,5,28,28,Meg,1,0.0179797039386251,5,0.5550304759957555,26.428597456370337
DeepRUOT,pc30,Clone_1370,8.69370718443281,0.06021256799565993,8.69370718443281,4,12,19,19,Baso,1,0.03926130705362045,12,0.3240291367958321,8.369059259531936
DeepRUOT,pc30,Clone_1404,13.969811573331523,0.320898015474124,13.969811573331523,4,3,27,27,Monocyte,1,0.04995117992427936,3,0.00964406749029162,8.884967276354372
DeepRUOT,pc30,Clone_1440,6.32214159677247,0.2520558539591897,6.32214159677247,4,16,18,18,undiff,0,0.07226473897493672,16,0.22763692122432397,7.619776527099585
DeepRUOT,pc30,Clone_1479,8.486540115643713,0.468051940876578,8.486540115643713,4,7,17,17,Mast,2,0.1370584143059133,7,0.5230322542383166,7.563059149692875
DeepRUOT,pc30,Clone_1562,15.651067346094006,0.37645500683417304,15.651067346094006,4,2,23,23,Monocyte,1,0.041945954015674455,2,0.01161538143916909,3.522021547191701
DeepRUOT,pc30,Clone_17,14.173596409825205,1.3491672355181528,14.173596409825205,4,4,22,22,Mast,1,0.06494028098519304,4,0.6844030529191332,19.73125013077922
DeepRUOT,pc30,Clone_1967,8.40921794408587,0.48239855473575927,8.40921794408587,4,3,26,26,Monocyte,1,0.03640561259918894,3,0.020713241978456087,2.9477736277230657
DeepRUOT,pc30,Clone_1972,12.053000300784838,0.24255342102458427,12.053000300784838,4,7,13,13,Baso,2,0.13725123613922102,7,2.675025161902477,10.49052026525043
DeepRUOT,pc30,Clone_1998,17.110103294314815,0.27913101468465196,17.110103294314815,4,10,23,23,Monocyte,2,0.1423182842137415,10,6.949860529104069,30.72852575861241
DeepRUOT,pc30,Clone_2039,14.353647267633123,0.6195185824038447,14.353647267633123,4,19,29,29,Monocyte,2,0.12277062374618217,19,2.7557158962022528,11.681538709433966
DeepRUOT,pc30,Clone_2094,20.06943811928489,2.6229857423868554,20.06943811928489,4,7,23,23,Baso,2,0.05430278738110706,7,3.8538178110131516,17.04827261695845
DeepRUOT,pc30,Clone_2109,16.766908487880713,0.4042043992923015,16.766908487880713,4,3,18,18,Baso,1,0.07032339916594173,3,2.974747834495287,13.592385899152859
DeepRUOT,pc30,Clone_2111,11.00337432863661,0.641950520019707,11.00337432863661,4,18,20,20,Neutrophil,2,0.08078452418450575,18,1.6119604989013196,7.8044678698900904
DeepRUOT,pc30,Clone_2272,9.083557894571682,0.3410525651617762,9.083557894571682,4,5,23,23,Baso,2,0.12222408058193349,5,0.2346137980849938,4.667298953752019
