GENE NAMES,,,,,,,,,,,,,,,,,,,,,,,,
Eif4a2,Mcm6,Smc2,Ccnd2,Pdlim7,Mecom,Gimap1,,,Meg3,Tifab,Mboat2,Tgm2,Pnrc1,Cd48,Ewsr1,Isoc1,,,,,,,,
Tmem176a,Plek,Lgals1,Prss34,Ccnd2,Mllt3,Zbtb4,,,Exph5,Cd79a,Cish,Gng11,Txnip,Dnmt1,Cox5b,Dnajc10,,,,,,,,
Bex4,Set,Snrpd1,Fhl1,Sult1a1,Mpl,Rpgrip1,,,Tenc1,Sparc,Gsta4,Pik3r1,Maff,Hn1,Eif5a,Snx27,,,,,,,,
Grb10,Atp5g3,Cited4,Rps16,Tgoln1,Msi2;msi2;LOC100504473,Kdm6b,,,Igf2,Tyrobp,Fam18b,Vwf,mt-Co1,Nkg7,Mcm7,ENSMUSG00000101249,,,,,,,,
H2-D1,Myc,BC035044,Enpp5,Ptger4,Mycn,Rps16,,,Zfp37,Lonrf2,Fech,Fam43a,Ier5,Calr,Cox5a,Nop14,,,,,,,,
Cd74,Fam65a,Atp1b2,Rpl36a,Tspan14,Myct1,Ptges,,,Sox9,Hba-a2,Cmas,Ifi203,2410006H16Rik,Cox6c,1110001J03Rik,Psat1,,,,,,,,
Iigp1,Ap3s1,Rrm2,Art4,Marveld1,Myl10,Pde1b,,,Setbp1,Mpo,Bpgm,Cd74,Plk2,Cks2,Banf1,Rps23,,,,,,,,
Aldh1a1,Klf1,AI506816,Gng11,Ehd3,Nfe2,Pik3ip1,,,Gbp9,Irf8,Klhl4,Uba7,Atf3,Rpsa,U2af1,Timm10,,,,,,,,
Rpl37,Taldo1,Prss57,Rps20,Setd7,Oasl2,Chd3,,,Slc17a8,Fabp4,Mllt3,Ppp1r9a,Stk17b,Snrpb,Cox6b1,Rpl18a,,,,,,,,
Myl10,Cks2,Fam117a,Jund,Gda,Osbpl1a,Hk3,,,Gm23706,Zfp82,Prex2,Adgrg1,Taf7,Fam65a,Eif4a1,Ddx26b,,,,,,,,
Gstm1,Slc25a5,Cst7,Rpl37,Fnbp4,Pcp4l1,Smpdl3a,,,Igf1,Klrd1,Marveld2,Gm12185,Spc24,Trim28,Hist1h2bc,Rps7,,,,,,,,
Vwf,Hn1,Mcm3,Bex4,Aldh1a1,Pde4b,mt-Co1,,,Nova1,Cybb,Wdr19,Efna1,Klf9,Atp1b3,Tubb5,Gas5,,,,,,,,
Rps3a1,Bex6,Calr,Cdkn1c,Ltb,Pdzk1ip1,Samhd1,,,Npas2,Hp,Mageh1,Ryk,Hspa5,Ptbp1,Rps16,Senp1,,,,,,,,
