,gene_symbol
546,Tjp3
547,Skp2
548,Miip
549,Larp7
550,Trim36
551,Reep3
552,Dpf1
553,Iqgap1
554,Fbxw5
555,Lcmt1
556,Hacd1
557,Rpl17
558,Usp37
559,Taf2
560,Tacc1
561,Cenpt
562,Phf8
563,Dna2
564,Usp44
565,Npm2
566,Tubgcp6
567,Hecw2
568,Taok3
569,Mblac1
570,Brcc3dc
571,Heca
572,Ccnjl
573,Kif14
574,Firrm
575,Nsl1
576,Ube2u
577,Wee2
578,Taok2
579,Brsk1
580,Ankfn1
581,Rrm2b
582,Nsfl1c
583,Mir26a-1
584,Mir26b
585,Mir124a-1
586,Iqgap3
587,Bex4
588,Ccdc8
589,Ccnb1-ps
590,Btg1b
591,Fbxl7
592,Lats2
593,Dmrt1
594,Spast
595,Tmod3
596,Chek2
597,Nasp
598,Rgs14
599,Ppp2r1a
600,Hnrnpu
601,Tubgcp4
602,Knstrn
603,Cdk2ap2
604,Pibf1
605,Ppp1r10
606,Anapc4
607,Cdca8
608,Ctdsp2
609,Angel2
610,Cdc23
611,E2f7
612,Ncaph2
613,Zwint
614,Plrg1
615,Usp2
616,Sdcbp
617,Exoc7
618,Tuba8
619,Rab11a
620,Ppm1d
621,Cks1b
622,Spag5
623,Akap8l
624,Nme6
625,Ncapg
626,Crlf3
627,Cpsf3
628,Iqgap2
629,Tubb1
630,Ptpn3
631,Foxo4
632,Btg4
633,Cts7
634,Mad2l1
635,Rbm38
636,Becn1
637,Anapc7
638,Aatf
639,Arl3
640,Fzr1
641,Akap8
642,Tubd1
643,Mbtps1
644,Actl6a
645,Pias1
646,Gpr132
647,Brinp1
648,Psrc1
649,Pdxp
650,Brd4
651,Smarce1
652,Xrcc2
653,Tacc2
654,Usp29
655,Ttyh1
656,Rangrf
657,Pidd1
658,Smpd3
659,Wrap73
660,Anapc5
661,Rrs1
662,Dact1
663,Arpp19
664,Nek7
665,Nek6
666,Donson
667,Cenpk
668,Mcidas
669,Cks1brt
670,Anapc15-ps
671,Rbm46
672,Trim71
673,Cables1
674,Smoc2
675,Map3k20
676,Tipin
677,Ska2
678,Anapc11
679,Bccip
680,Cks2
681,Inip
682,Rgcc
683,Cenpw
684,Chmp4c
685,Rtf2
686,Cdc26
687,Spc25
688,Ska1
689,Exoc2
690,Cul7
691,Mad2l1bp
692,Snx9
693,Ccnh
694,Rae1
695,Sbds
696,Trim35
697,Pbrm1
698,Nuf2
699,Zfp830
700,Khdc3
701,Smarcd3
702,Riok2
703,Ndc80
704,Chmp1b
705,Lsm14a
706,Dynlt3
707,Mastl
708,Mis12
709,Fbxo5
710,Rnaseh2b
711,Smarca2
712,Cdt1
713,Nde1
714,Cltc
715,Anp32b
716,Spc24
717,Ctdp1
718,Poldip2
719,Gpsm1
720,Cdca5
721,Ppp6c
722,Rprm
723,Rps27l
724,Tubb6
725,Ccny
726,Zwilch
727,Pabir1
728,Ubxn2b
729,Mrnip
730,Nop53
731,Smarcc2
732,Ino80
733,Etaa1
734,Rpl24
735,Rpa3
736,Babam1
737,Ncapd2
738,Fbxl15
739,Nsmce2
740,Eml1
741,Syf2
742,Ube2c
743,Anln
744,Chmp2b
745,Chmp2a
746,Ctc1
747,Mitd1
748,Kmt2e
749,Gins1
750,Ctdspl
751,Rhou
752,Dctn2
753,Cdk3
754,Trip13
755,Ttl
756,Fbxo7
757,Nabp2
758,Exoc1
759,Tunar
760,Cdc16
761,Cep85
762,Smc4
763,Dpf3
764,Kif18b
765,Poc1a
766,Spdl1
767,Tbce
768,Stambp
769,Ecd
770,Abraxas1
771,Prdm5
772,Cep192
773,Spdya
774,D7Ertd443e
775,Nipbl
776,Ints13
777,Ccdc57
778,Foxn3
779,Brox
780,Mus81
781,Ankle2
782,Kif23
783,Efhc1
784,Epgn
785,Tube1
786,Tom1l1
787,Nanog
788,Zfyve19
789,Phf10
790,Sapcd2
791,Ush1c
792,Naa50
793,Tpx2
794,Seh1l
795,Lsm11
796,Dusp3
797,Mir124a-2
798,Mir124a-3
799,Mir26a-2
800,Pinx1
801,Rps6kb1
802,Reep4
803,Cul4b
804,Zfp655
805,Rint1
806,Sass6
807,Appl1
808,Ccsap
809,Tubb2b
810,Thap1
811,Kif2c
812,Fam110a
813,Pabir3
814,Cep55
815,Cep97
816,Tubgcp2
817,Cyld
818,Aven
819,Xrcc3
820,Rptor
821,Map10
822,Spata17
823,Setmar
824,Usp47
825,Ankrd53
826,Anapc15
827,Tm4sf5
828,Chmp4b
829,Brsk2
830,Ckap5
831,Senp2
832,Exoc6b
833,Ncapg2
834,Gpsm2
835,Fbxo31
836,Knl1
837,Clasp2
838,Clasp1
839,Mzt1
840,Dtl
841,Chmp5
842,Ticrr
843,Kdm8
844,Arid2
845,Bcl7a
846,Rab35
847,Myh10
848,Bora
849,Ube2s
850,Klhdc8b
851,Cul9
852,Ncapd3
853,Eml4
854,Fbxo43
855,Cacul1
856,Gins3
857,Misp
858,Trim39
859,Cdk5rap3
860,Ckap2
861,Kat5
862,Ankrd17
863,Tfap4
864,Ndel1
865,Tex14
866,Usp26
867,Actl6b
868,Smarcd2
869,Smarcd1
870,Phip
871,Usp8
872,Gpnmb
873,Sirt1
874,Arid1a
875,Smarca5
876,Obsl1
877,Anapc2
878,Cul4a
879,Golga2
